frame,class_id,confidence,bbox(xyxy)
1,0,0.8778350353240967,"[55.77391052246094, 53.76301574707031, 555.5352783203125, 479.45428466796875]"
1,27,0.3337452709674835,"[302.8885498046875, 317.62701416015625, 380.96307373046875, 479.55377197265625]"
2,0,0.8870305418968201,"[54.3470458984375, 51.17161560058594, 554.9540405273438, 479.3538818359375]"
3,0,0.8604834675788879,"[58.93975830078125, 51.0400390625, 555.7928466796875, 479.39227294921875]"
4,0,0.8669159412384033,"[56.10914611816406, 52.81047058105469, 553.9779052734375, 479.32391357421875]"
5,0,0.8555702567100525,"[58.55462646484375, 51.64695739746094, 555.6807250976562, 479.44189453125]"
5,27,0.4432121813297272,"[301.48406982421875, 314.9231872558594, 378.09112548828125, 479.4720153808594]"
6,0,0.8643491864204407,"[59.10169982910156, 53.3790283203125, 554.72412109375, 479.4892578125]"
6,27,0.3026476502418518,"[297.6484375, 314.59539794921875, 382.7020263671875, 479.42449951171875]"
7,0,0.8786454200744629,"[57.59649658203125, 53.44093322753906, 552.6942138671875, 479.5355224609375]"
8,0,0.8862247467041016,"[55.90910339355469, 52.713287353515625, 557.3967895507812, 479.4028625488281]"
9,0,0.8699086308479309,"[58.14610290527344, 52.99501037597656, 554.3656005859375, 479.4659423828125]"
10,0,0.8591997623443604,"[53.80517578125, 52.291290283203125, 553.8980712890625, 479.2849426269531]"
11,0,0.8620924949645996,"[56.16180419921875, 51.59466552734375, 554.5809326171875, 479.419677734375]"
12,0,0.8697117567062378,"[51.98663330078125, 53.36064147949219, 553.3280029296875, 479.31219482421875]"
13,0,0.8722827434539795,"[53.47395324707031, 51.082733154296875, 554.3558959960938, 479.4026794433594]"
14,0,0.8713446259498596,"[51.94769287109375, 51.1502685546875, 554.0995483398438, 479.2073974609375]"
15,0,0.8845338821411133,"[55.72911071777344, 52.635833740234375, 553.1429443359375, 479.3756408691406]"
16,0,0.8592175245285034,"[57.6221923828125, 52.78764343261719, 556.5386962890625, 479.55279541015625]"
17,0,0.8823198080062866,"[56.31842041015625, 52.77873229980469, 555.6132202148438, 479.46527099609375]"
18,0,0.8764822483062744,"[54.58738708496094, 52.74015808105469, 554.608642578125, 479.47503662109375]"
19,0,0.8781524896621704,"[53.70489501953125, 51.17707824707031, 557.0147094726562, 479.34271240234375]"
20,0,0.859481930732727,"[56.86521911621094, 52.45494079589844, 553.913818359375, 479.3275146484375]"
21,0,0.856683075428009,"[57.96949768066406, 54.434814453125, 555.4307861328125, 479.42803955078125]"
21,27,0.3445771038532257,"[304.9151611328125, 318.0391845703125, 381.7122802734375, 479.5213623046875]"
22,0,0.8649977445602417,"[56.50782775878906, 54.914459228515625, 559.781982421875, 479.2560729980469]"
